years(Äê£© mjd gps(input) gps(rm_leap) gps(rm_leap_3sigma) gps(rm_leap_sigma_depoly) gps(rm_leap_sigma_running_aver) gps(rm_leap_sigma_running_aver_sigma) year month day
2004.157 53062.5   -1.72   -1.72   -1.72   -1.58   -1.82   -1.82 2004    2   27
2004.160 53063.5   -6.42   -6.42   -6.42   -6.27   -6.50   -6.50 2004    2   28
2004.163 53064.5   -6.12   -6.12   -6.12   -5.98   -6.20   -6.20 2004    2   29
2004.165 53065.5  -10.31  -10.31  -10.31  -10.16  -10.41  -10.41 2004    3    1
2004.168 53066.5   -8.27   -8.27   -8.27   -8.13   -8.38   -8.38 2004    3    2
2004.171 53067.5   -6.03   -6.03   -6.03   -5.89   -6.15   -6.15 2004    3    3
2004.173 53068.5   -3.05   -3.05   -3.05   -2.90   -3.16   -3.16 2004    3    4
2004.176 53069.5  -13.19  -13.19  -13.19  -13.05  -13.31  -13.31 2004    3    5
2004.179 53070.5  -11.99  -11.99  -11.99  -11.85  -12.14  -12.14 2004    3    6
2004.182 53071.5  -10.51  -10.51  -10.51  -10.37  -10.66  -10.66 2004    3    7
2004.184 53072.5    5.65    5.65    5.65    5.79    5.51    5.51 2004    3    8
2004.187 53073.5    4.81    4.81    4.81    4.95    4.66    4.66 2004    3    9
2004.190 53074.5    0.17    0.17    0.17    0.31   -0.01   -0.01 2004    3   10
2004.193 53075.5   -4.52   -4.52   -4.52   -4.39   -4.71   -4.71 2004    3   11
2004.195 53076.5   -5.59   -5.59   -5.59   -5.46   -5.78   -5.78 2004    3   12
2004.198 53077.5   -5.82   -5.82   -5.82   -5.69   -6.02   -6.02 2004    3   13
2004.201 53078.5   -0.44   -0.44   -0.44   -0.31   -0.64   -0.64 2004    3   14
2004.203 53079.5   -4.62   -4.62   -4.62   -4.49   -4.84   -4.84 2004    3   15
2004.206 53080.5   -7.11   -7.11   -7.11   -6.98   -7.31   -7.31 2004    3   16
2004.209 53081.5   -8.97   -8.97   -8.97   -8.85   -9.16   -9.16 2004    3   17
2004.212 53082.5   -5.13   -5.13   -5.13   -5.00   -5.32   -5.32 2004    3   18
2004.214 53083.5   -9.02   -9.02   -9.02   -8.90   -9.24   -9.24 2004    3   19
2004.217 53084.5   -6.27   -6.27   -6.27   -6.15   -6.51   -6.51 2004    3   20
2004.220 53085.5   -8.74   -8.74   -8.74   -8.62   -9.01   -9.01 2004    3   21
2004.223 53086.5   -6.40   -6.40   -6.40   -6.28   -6.71   -6.71 2004    3   22
2004.225 53087.5   -4.18   -4.18   -4.18   -4.06   -4.48   -4.48 2004    3   23
2004.228 53088.5   -6.51   -6.51   -6.51   -6.39   -6.84   -6.84 2004    3   24
2004.231 53089.5   -3.90   -3.90   -3.90   -3.78   -4.23   -4.23 2004    3   25
2004.234 53090.5   -3.03   -3.03   -3.03   -2.91   -3.36   -3.36 2004    3   26
2004.236 53091.5   -4.32   -4.32   -4.32   -4.20   -4.65   -4.65 2004    3   27
2004.239 53092.5   -4.42   -4.42   -4.42   -4.30   -4.76   -4.76 2004    3   28
2004.242 53093.5   -6.11   -6.11   -6.11   -5.99   -6.45   -6.45 2004    3   29
2004.245 53094.5   -8.03   -8.03   -8.03   -7.92   -8.37   -8.37 2004    3   30
2004.247 53095.5   -0.54   -0.54   -0.54   -0.43   -0.88   -0.88 2004    3   31
